data,totale_casi,totale_casi_sigma,regione,deceduti,deceduti_sigma,totale_casi_seir,totale_positivi_individuati,guariti_individuati,deceduti_seir,terapia_intensiva,totale_positivi_non_individuati,guariti_non_individuati,totale_casi_non_individuati,beta,gamma,R_0,beta_individuati,gamma_individuati,R_0_individuati,totale_casi_std,totale_positivi_individuati_std,guariti_individuati_std,deceduti_std,terapia_intensiva_std,totale_positivi_non_individuati_std,guariti_non_individuati_std,totale_casi_non_individuati_std,beta_std,gamma_std,R_0_std,beta_individuati_std,gamma_individuati_std,R_0_individuati_std,totale_casi_offset,deceduti_offset,guariti_offset,totale_positivi_offset,terapia_intensiva_offset,R_0_offset
2021-02-27,335159.0,128,Veneto,9864.0,2,334603.4672216181,24550.0,300840.0,9877.499689139437,,33298.40320083261,1715768.8955048334,1749067.2987056659,0.12686638566797248,0.08670618324525259,1.4926662779115167,0.12686638566797248,0.08670618324525259,1.4926662779115167,4124.243061908928,2996,4579,160.72059900009478,28,22725.353201778173,74133.70987607242,89510.91463603592,0.08326367024021886,0.003935518260337186,0.9566035816537451,0.08326367024021886,0.003935518260337186,0.8566035816537452,-3,-3,-3,-3,-1,-3
2021-02-28,336347.0,179,Veneto,9876.0,3,335269.4523161696,24301.0,301729.0,9902.649550245746,,33288.35138995643,1719226.6172929883,1752514.9686829448,0.1273803880239652,0.08670618324525259,1.4966389838553866,0.1273803880239652,0.08670618324525259,1.4966389838553866,4039.265557857265,3261,4501,160.17644834952443,28,24043.09778167408,75677.57546186443,92182.43586111633,0.08397691019184571,0.003935518260337186,0.9591626368663072,0.08397691019184571,0.003935518260337186,0.8591626368663071,-3,-3,-3,-3,-1,-3
2021-03-01,337690.0,254,Veneto,9887.0,3,335935.29385894287,24065.0,302607.0,9927.470967891873,139.0,33287.823714063736,1722684.475247009,1755972.2989610732,0.12780816818633955,0.08670618324525259,1.499731880959882,0.12780816818633955,0.08670618324525259,1.499731880959882,3999.4575401660436,3546,4414,159.52168411244847,28,25335.918690032897,77325.63657835287,94992.90219305613,0.08473330987669046,0.003935518260337186,0.9627211140773444,0.08473330987669046,0.003935518260337186,0.8627211140773443,-3,-3,-3,-3,-1,-3
2021-03-02,339060.0,321,Veneto,9898.0,4,336601.2402707825,23840.0,303473.0,9951.983055637736,136.0,33289.85679411552,1726143.7275036406,1759433.584297756,0.12814381616574427,0.08670618324525259,1.5019061500344912,0.12814381616574427,0.08670618324525259,1.5019061500344912,4016.5425240635896,3847,4318,158.78977642724246,28,26612.464153303765,79084.05426432793,97936.21725248992,0.08554932995415893,0.003935518260337186,0.9673669830188636,0.08554932995415893,0.003935518260337186,0.8673669830188636,-3,-3,-3,-3,-1,-3
2021-03-03,340472.0,422,Veneto,9909.0,5,337267.2635824773,23626.0,304329.0,9976.192399856536,133.0,33299.43137892357,1729604.1860240297,1762903.617402953,0.12839655954371426,0.08670618324525259,1.5032239774014593,0.12839655954371426,0.08670618324525259,1.5032239774014593,4099.574395488909,4163,4214,157.99218102958451,29,27865.800619541347,80956.00441966858,101017.09344759646,0.08641578266291489,0.003935518260337186,0.9730194055110318,0.08641578266291489,0.003935518260337186,0.8730194055110319,-3,-3,-3,-3,-1,-3
2021-03-04,341954.0,535,Veneto,9919.0,5,337933.4698603328,23423.0,305174.0,10000.1130515404,131.0,33317.08037822725,1733066.3665649404,1766383.4469431676,0.12862497969751646,0.08670618324525259,1.5043904395950587,0.12862497969751646,0.08670618324525259,1.5043904395950587,4254.539410288343,4492,4104,157.16383977794172,29,29094.427128669962,82945.38762292749,104235.09292710891,0.0872329834632015,0.003935518260337186,0.9783877717020304,0.0872329834632015,0.003935518260337186,0.8783877717020303,-3,-3,-3,-3,-1,-3
2021-03-05,343501.0,701,Veneto,9930.0,6,338600.0793552656,23230.0,306010.0,10023.761596879163,128.0,33341.38361963117,1736531.385669409,1769872.7692890398,0.1288299428842185,0.08670618324525259,1.5054127570620048,0.1288299428842185,0.08670618324525259,1.5054127570620048,4483.6161532598435,4832,3988,156.35179211666596,29,30296.44024367674,85056.48541252941,107587.65584210792,0.0880021792058096,0.003935518260337186,0.9834806805887332,0.0880021792058096,0.003935518260337186,0.8834806805887332,-3,-3,-3,-3,-1,-3
2021-03-06,345069.0,874,Veneto,9940.0,7,339267.2237818135,23047.0,306837.0,10047.152607634744,126.0,33371.48095851429,1739999.8967114338,1773371.3776699482,0.1290127789077334,0.08670618324525259,1.5063003495902,0.1290127789077334,0.08670618324525259,1.5063003495902,4785.249528110412,5182,3868,155.60844058302118,30,31471.34795141983,87292.32407952835,111072.07788938087,0.08872572705953215,0.003935518260337186,0.9883125117111315,0.08872572705953215,0.003935518260337186,0.8883125117111317,-3,-3,-3,-3,-1,-3
2021-03-07,346547.0,1059,Veneto,9950.0,8,339935.01412625733,22874.0,307655.0,10070.30004307702,123.0,33406.58537314014,1743472.4458767353,1776879.031249875,0.12917480608969448,0.08670618324525259,1.50706225814375,0.12917480608969448,0.08670618324525259,1.50706225814375,5155.188916643187,5540,3748,154.99328644077534,31,32618.914613344918,89655.16998459541,114685.3413880399,0.08940610087447269,0.003935518260337186,0.9928982335925048,0.08940610087447269,0.003935518260337186,0.8928982335925049,-3,-3,-3,-3,-1,-3
2021-03-08,348150.0,1258,Veneto,9960.0,8,340603.5477707189,22709.0,308465.0,10093.217384267133,121.0,33445.92591309243,1746949.5095630246,1780395.4354761168,0.12931727286253786,0.08670618324525259,1.5077068409451242,0.12931727286253786,0.08670618324525259,1.5077068409451242,5587.718615849355,5906,3631,154.57299324720242,31,33738.98988873576,92146.59507206296,118424.13356200732,0.09004577921101772,0.003935518260337186,0.9972528908349316,0.09004577921101772,0.003935518260337186,0.8972528908349315,-3,-3,-3,-3,-1,-3
