data,totale_casi,totale_casi_sigma,regione,deceduti,deceduti_sigma,totale_casi_seir,totale_positivi_individuati,guariti_individuati,deceduti_seir,terapia_intensiva,totale_positivi_non_individuati,guariti_non_individuati,totale_casi_non_individuati,beta,gamma,R_0,beta_individuati,gamma_individuati,R_0_individuati,totale_casi_std,totale_positivi_individuati_std,guariti_individuati_std,deceduti_std,terapia_intensiva_std,totale_positivi_non_individuati_std,guariti_non_individuati_std,totale_casi_non_individuati_std,beta_std,gamma_std,R_0_std,beta_individuati_std,gamma_individuati_std,R_0_individuati_std,totale_casi_offset,deceduti_offset,guariti_offset,totale_positivi_offset,terapia_intensiva_offset,R_0_offset
2021-02-26,333972.0,96,Veneto,9851.0,2,333721.0083111252,24279.0,300238.0,9866.052808411181,,46851.70329468149,1599638.2703270453,1646489.973621727,0.15435830259926586,0.08406989771339161,1.8485435945745865,0.15435830259926586,0.08406989771339161,1.8485435945745865,5781.187496291007,5654,3827,230.41670315930008,65,30183.138221189667,273789.4899794578,251373.62145600218,0.038377984780906635,0.0069587801261436185,0.5420177666802282,0.038377984780906635,0.0069587801261436185,0.4420177666802282,-3,-3,-3,-3,-1,-3
2021-02-27,335241.0,149,Veneto,9865.0,2,334704.66084435966,24248.0,301225.0,9894.045053984932,,47776.94744960126,1604252.7848254864,1652029.7322750874,0.1551152479583138,0.08406989771339161,1.853435878845748,0.1551152479583138,0.08406989771339161,1.853435878845748,6325.2684044281605,6080,3741,231.61699437826303,65,31634.667204997768,271968.112442391,248515.48370667524,0.03855601095567806,0.0069587801261436185,0.5433085838588063,0.03855601095567806,0.0069587801261436185,0.4433085838588063,-3,-3,-3,-3,-1,-3
2021-02-28,336554.0,198,Veneto,9877.0,3,335707.9591101982,24237.0,302210.0,9922.003988551454,135.0,48705.29630955631,1608955.049780366,1657660.346089922,0.15581489635450846,0.08406989771339161,1.8579359018403885,0.15581489635450846,0.08406989771339161,1.8579359018403885,6926.202716522954,6518,3669,233.21719867515318,65,33104.178254538805,270049.01628140354,245567.13269949693,0.03870414781077073,0.0069587801261436185,0.5443801924176183,0.03870414781077073,0.0069587801261436185,0.4443801924176183,-3,-3,-3,-3,-1,-3
2021-03-01,337968.0,289,Veneto,9890.0,3,336730.85726780025,24247.0,303196.0,9949.95585004275,133.0,49637.36200102127,1613744.74106145,1663382.1030624711,0.15646151617871967,0.08406989771339161,1.8620765915313848,0.15646151617871967,0.08406989771339161,1.8620765915313848,7580.658614699584,6966,3618,235.28374385036273,65,34590.762314366584,268032.791365729,242531.55687911145,0.03882543290649671,0.0069587801261436185,0.5452601453982341,0.03882543290649671,0.0069587801261436185,0.4452601453982341,-3,-3,-3,-3,-1,-3
2021-03-02,339480.0,354,Veneto,9903.0,4,337773.4229852505,24276.0,304182.0,9977.929725261238,131.0,50572.670043281396,1618622.0721230537,1669194.7421663348,0.15705839218765835,0.08406989771339161,1.865883168052027,0.15705839218765835,0.08406989771339161,1.865883168052027,8285.588011895681,7424,3595,237.88114567822788,66,36093.120746910296,265919.7637618818,239412.7830645711,0.03892198718700409,0.0069587801261436185,0.5459658686743379,0.03892198718700409,0.0069587801261436185,0.4459658686743381,-3,-3,-3,-3,-1,-3
2021-03-03,341061.0,429,Veneto,9915.0,5,338835.86010895343,24322.0,305170.0,10005.956684622386,129.0,51509.15404898109,1623587.8999634718,1675097.0540124532,0.15760749988518222,0.08406989771339161,1.869371129819769,0.15760749988518222,0.08406989771339161,1.869371129819769,9038.276982883624,7893,3605,241.07194074347126,67,37609.16968333846,263709.8908955023,236216.32007131435,0.03899457681118479,0.0069587801261436185,0.5465011772274526,0.03899457681118479,0.0069587801261436185,0.4465011772274526,-3,-3,-3,-3,-1,-3
2021-03-04,342732.0,540,Veneto,9928.0,6,339918.19365364336,24386.0,306160.0,10034.062058802288,127.0,52445.936345103415,1628642.2527348471,1681088.1890799503,0.1581116668939416,0.08406989771339161,1.8725614942687,0.1581116668939416,0.08406989771339161,1.8725614942687,9836.73818057274,8373,3656,244.924579625783,68,39137.231107731466,261404.1921695656,232947.8874594493,0.03904466648697511,0.0069587801261436185,0.5468776187797438,0.03904466648697511,0.0069587801261436185,0.4468776187797438,-3,-3,-3,-3,-1,-3
2021-03-05,344516.0,594,Veneto,9940.0,7,341020.42443353287,24466.0,307154.0,10062.269619134187,126.0,53382.09939533712,1633785.0524914442,1687167.151886781,0.15857359090641165,0.08406989771339161,1.8754740154671983,0.15857359090641165,0.08406989771339161,1.8754740154671983,10679.359685707766,8862,3754,249.50831992731014,69,40675.55222804355,259004.07470071613,229613.96134136122,0.03907345785261211,0.0069587801261436185,0.5471051263212072,0.03907345785261211,0.0069587801261436185,0.4471051263212073,-3,-3,-3,-3,-1,-3
2021-03-06,346339.0,726,Veneto,9952.0,8,342142.52954628033,24561.0,308153.0,10090.602489723962,124.0,54316.674288844544,1639016.1170017247,1693332.7912905694,0.15899589231886274,0.08406989771339161,1.8781275225266651,0.15899589231886274,0.08406989771339161,1.8781275225266651,11564.827875383582,9362,3901,254.88865419597312,70,42222.29907817143,256511.3372975903,226221.8151754333,0.039082011210775966,0.0069587801261436185,0.5471924158583441,0.039082011210775966,0.0069587801261436185,0.4471924158583441,-3,-3,-3,-3,-1,-3
2021-03-07,348259.0,862,Veneto,9965.0,9,343284.4677165835,24671.0,309156.0,10119.081682254784,123.0,55248.62836986079,1644335.1878330288,1699583.81620289,0.15938093071580414,0.08406989771339161,1.880538861805597,0.15938093071580414,0.08406989771339161,1.880538861805597,12492.055559566672,9871,4102,261.1255247708099,72,43775.590994092185,253928.23152347511,222779.58614309516,0.039071620053421664,0.0069587801261436185,0.5471494319767952,0.039071620053421664,0.0069587801261436185,0.4471494319767952,-3,-3,-3,-3,-1,-3
