data,totale_casi,totale_casi_sigma,regione,deceduti,deceduti_sigma,totale_casi_seir,totale_positivi_individuati,guariti_individuati,deceduti_seir,terapia_intensiva,totale_positivi_non_individuati,guariti_non_individuati,totale_casi_non_individuati,beta,gamma,R_0,beta_individuati,gamma_individuati,R_0_individuati,totale_casi_std,totale_positivi_individuati_std,guariti_individuati_std,deceduti_std,terapia_intensiva_std,totale_positivi_non_individuati_std,guariti_non_individuati_std,totale_casi_non_individuati_std,beta_std,gamma_std,R_0_std,beta_individuati_std,gamma_individuati_std,R_0_individuati_std,totale_casi_offset,deceduti_offset,guariti_offset,totale_positivi_offset,terapia_intensiva_offset,R_0_offset
2021-03-11,350165.0,911,Veneto,9991.0,9,345953.39841191645,24522.0,311909.0,10189.633118104448,130.0,47885.33245360418,1742057.7264679417,1789943.0589215455,0.14908621939237013,0.08500365534102285,1.7452868163057909,0.14908621939237013,0.08500365534102285,1.7452868163057909,9142.329656829535,6336,4932,194.63244710027382,42,33428.981696214265,204033.71474990106,208502.15881537856,0.06149768357376734,0.008011106488382947,0.7292976894704538,0.06149768357376734,0.008011106488382947,0.6292976894704538,-3,-3,-3,-3,-1,-3
2021-03-12,351539.0,1035,Veneto,10001.0,10,346913.5476140393,24509.0,312857.0,10216.397054134432,128.0,48122.381816669935,1746861.733184771,1794984.115001441,0.1491725587265396,0.08500365534102285,1.745833539330104,0.1491725587265396,0.08500365534102285,1.745833539330104,9704.791543782632,6655,5035,192.12286205913486,43,34633.753339790965,204810.96748678177,209694.97540961407,0.06187922401236012,0.008011106488382947,0.7320374552719119,0.06187922401236012,0.008011106488382947,0.6320374552719119,-3,-3,-3,-3,-1,-3
2021-03-13,352961.0,1149,Veneto,10010.0,12,347878.3788771816,24500.0,313803.0,10243.147110164948,127.0,48355.47800242238,1751687.4885148713,1800042.9665172938,0.14924138299066472,0.08500365534102285,1.746268937068212,0.14924138299066472,0.08500365534102285,1.746268937068212,10298.752343534465,6983,5164,189.8234848644232,44,35821.62755475589,205618.35009512093,210970.85311037218,0.06223668203435465,0.008011106488382947,0.7346266802368879,0.06223668203435465,0.008011106488382947,0.634626680236888,-3,-3,-3,-3,-1,-3
2021-03-14,354374.0,1277,Veneto,10019.0,13,348847.8148758749,24496.0,314750.0,10269.888105638582,126.0,48583.8777794797,1756534.6132705684,1805118.4910500487,0.1492935567654192,0.08500365534102285,1.7465987076760257,0.1492935567654192,0.08500365534102285,1.7465987076760257,10923.182501739337,7321,5319,187.79441716828225,45,36990.54816459838,206460.78333219126,212333.1968766337,0.06257149519321806,0.008011106488382947,0.7370744555957862,0.06257149519321806,0.008011106488382947,0.6370744555957862,-3,-3,-3,-3,-1,-3
2021-03-15,355800.0,1421,Veneto,10029.0,14,349821.76106438163,24497.0,315696.0,10296.625861705974,125.0,48806.85655305207,1761402.6435952738,1810209.5001483262,0.1493299934816161,0.08500365534102285,1.7468289244826616,0.1493299934816161,0.08500365534102285,1.7468289244826616,11577.057910614683,7668,5500,186.10919940537912,47,38138.77623333343,207343.15402332452,213785.08035919387,0.06288494430527106,0.008011106488382947,0.7393891975321379,0.06288494430527106,0.008011106488382947,0.639389197532138,-3,-3,-3,-3,-1,-3
2021-03-16,357241.0,1561,Veneto,10038.0,15,350800.10783547064,24502.0,316643.0,10323.366625406401,125.0,49023.705499793025,1766291.0410389425,1815314.7465387348,0.14935160735537634,0.08500365534102285,1.7469656783873786,0.14935160735537634,0.08500365534102285,1.7469656783873786,12259.369983678378,8022,5708,184.851980941393,48,39264.82905612185,208270.26663414764,215329.2246987264,0.06317821900358431,0.008011106488382947,0.7415789224343068,0.06317821900358431,0.008011106488382947,0.6415789224343068,-3,-3,-3,-3,-1,-3
2021-03-17,358720.0,1724,Veneto,10046.0,17,351782.73336360225,24511.0,317590.0,10350.11593700143,124.0,49233.725902153536,1771199.2055619396,1820432.9314640928,0.14935922476981653,0.08500365534102285,1.7470144297849952,0.14935922476981653,0.08500365534102285,1.7470144297849952,12969.130856994763,8382,5945,184.1130453432531,49,40367.43379199337,209246.78085712146,216967.97170474657,0.063452493963931,0.008011106488382947,0.7436514454697024,0.063452493963931,0.008011106488382947,0.6436514454697024,-3,-3,-3,-3,-1,-3
2021-03-18,360233.0,1895,Veneto,10055.0,18,352769.49287352065,24523.0,318537.0,10376.877576192259,123.0,49436.25520598443,1776126.4204026072,1825562.6756085919,0.149353606165227,0.08500365534102285,1.7469801374223157,0.149353606165227,0.08500365534102285,1.7469801374223157,13705.390034105709,8748,6209,183.98670024846768,51,41445.429274530565,210277.16837972528,218703.27305803105,0.06370845656777778,0.008011106488382947,0.7456106923465236,0.06370845656777778,0.008011106488382947,0.6456106923465236,-3,-3,-3,-3,-1,-3
2021-03-19,361718.0,2060,Veneto,10063.0,19,353760.2220050243,24539.0,319485.0,10403.656588337437,122.0,49630.66827681283,1781071.8697349888,1830702.5380118012,0.14933561110800322,0.08500365534102285,1.7468683985196052,0.14933561110800322,0.08500365534102285,1.7468683985196052,14467.230337456836,9119,6502,184.56669041632702,53,42497.759935556554,211365.70700469645,220536.68227949337,0.063946561869874,0.008011106488382947,0.7474591816344706,0.063946561869874,0.008011106488382947,0.6474591816344706,-3,-3,-3,-3,-1,-3
2021-03-20,363231.0,2254,Veneto,10071.0,20,354754.88907105033,24558.0,320435.0,10430.457193990673,122.0,49834.58082111383,1786035.4366769372,1835870.017498051,0.1493169341543676,0.08500365534102285,1.7467415975201888,0.1493169341543676,0.08500365534102285,1.7467415975201888,15253.8784537481,9494,6822,185.94352327603386,54,43549.33601918675,212517.697933472,222504.88778385293,0.06418879583599622,0.008011106488382947,0.7492903358111476,0.06418879583599622,0.008011106488382947,0.6492903358111476,-3,-3,-3,-3,-1,-3
2021-03-21,364760.0,2470,Veneto,10079.0,22,355755.0453536952,24581.0,321385.0,10457.284191925855,121.0,50114.1111616888,1791025.3097049762,1841139.4208666647,0.14933833398956106,0.08500365534102285,1.7468171825848997,0.14933833398956106,0.08500365534102285,1.7468171825848997,16066.184633616622,9874,7169,188.19935736638286,56,44684.877471825945,213752.37533683266,224747.74936079897,0.06450199208520138,0.008011106488382947,0.7513756003653458,0.06450199208520138,0.008011106488382947,0.6513756003653458,-3,-3,-3,-3,-1,-3
