data,totale_casi,totale_casi_sigma,regione,deceduti,deceduti_sigma,totale_casi_seir,totale_positivi_individuati,guariti_individuati,deceduti_seir,terapia_intensiva,totale_positivi_non_individuati,guariti_non_individuati,totale_casi_non_individuati,beta,gamma,R_0,beta_individuati,gamma_individuati,R_0_individuati,totale_casi_std,totale_positivi_individuati_std,guariti_individuati_std,deceduti_std,terapia_intensiva_std,totale_positivi_non_individuati_std,guariti_non_individuati_std,totale_casi_non_individuati_std,beta_std,gamma_std,R_0_std,beta_individuati_std,gamma_individuati_std,R_0_individuati_std,totale_casi_offset,deceduti_offset,guariti_offset,totale_positivi_offset,terapia_intensiva_offset,R_0_offset
2021-02-25,332735.0,131,Veneto,9836.0,2,332461.14013143966,23703.0,299562.0,9849.88338337474,,42650.63453712094,1593514.469832619,1636165.10436974,0.14897098865397465,0.0842478707449117,1.7713036950212702,0.14897098865397465,0.0842478707449117,1.7713036950212702,9848.47903191714,6124,7351,413.5393293320463,30,32628.19643649282,83985.61636690593,79275.49068384629,0.06447279994010288,0.004354777386265421,0.7391041553231613,0.06447279994010288,0.004354777386265421,0.6391041553231613,-3,-3,-3,-3,-1,-3
2021-02-26,333957.0,165,Veneto,9848.0,2,333355.8149384544,23628.0,300505.0,9876.651021154605,,43436.70012625019,1597774.047426878,1641210.747553128,0.14978634328206314,0.0842478707449117,1.7768187275686609,0.14978634328206314,0.0842478707449117,1.7768187275686609,10276.428784628211,6514,7359,413.2493734638409,31,33827.1567088216,82909.44398016653,79482.99194384151,0.06475146169171714,0.004354777386265421,0.7394750795973306,0.06475146169171714,0.004354777386265421,0.6394750795973306,-3,-3,-3,-3,-1,-3
2021-02-27,335199.0,243,Veneto,9860.0,3,334267.06984911306,23573.0,301445.0,9903.330459876435,131.0,44224.97170108705,1602111.9769621,1646336.9486631872,0.15054544928977615,0.0842478707449117,1.7819431223793232,0.15054544928977615,0.0842478707449117,1.7819431223793232,10748.2233200828,6910,7379,412.99064506870934,33,35031.79065909081,81905.13388753346,79946.98110579113,0.06498788328630357,0.004354777386265421,0.7396146087216693,0.06498788328630357,0.004354777386265421,0.6396146087216693,-3,-3,-3,-3,-1,-3
2021-02-28,336428.0,286,Veneto,9872.0,3,335194.9410700271,23536.0,302383.0,9929.946195353265,129.0,45014.35486436979,1606528.433865176,1651542.7887295457,0.15125074896964216,0.0842478707449117,1.7866971752727387,0.15125074896964216,0.0842478707449117,1.7866971752727387,11263.368090851829,7311,7416,412.7912284011937,34,36240.053725604914,80990.30366693523,80684.43693594402,0.06518450161899593,0.004354777386265421,0.7395414031601403,0.06518450161899593,0.004354777386265421,0.6395414031601403,-3,-3,-3,-3,-1,-3
2021-03-01,337775.0,342,Veneto,9883.0,4,336139.4451695495,23517.0,303320.0,9956.520559011858,127.0,45803.972302278526,1611023.5011157766,1656827.473418055,0.15190469060641093,0.0842478707449117,1.791100683225218,0.15190469060641093,0.0842478707449117,1.791100683225218,11821.139708353368,7718,7471,412.68330420137625,35,37450.3682215964,80183.77788397057,81709.37442636002,0.06534368696467245,0.004354777386265421,0.7392734137776884,0.06534368696467245,0.004354777386265421,0.6392734137776884,-3,-3,-3,-3,-1,-3
2021-03-02,339237.0,415,Veneto,9894.0,4,337100.5854418316,23516.0,304255.0,9983.076082271955,125.0,46593.02429130798,1615597.1997382285,1662190.2240295366,0.15250979660415878,0.0842478707449117,1.7951733674011414,0.15250979660415878,0.0842478707449117,1.7951733674011414,12420.658942524766,8129,7546,412.70261400724405,37,38661.34774823288,79505.42307767727,83032.53605505113,0.06546784725801152,0.004354777386265421,0.7388283252755273,0.06546784725801152,0.004354777386265421,0.6388283252755274,-3,-3,-3,-3,-1,-3
2021-03-03,340720.0,499,Veneto,9905.0,5,338078.34608435736,23531.0,305192.0,10009.634927898289,123.0,47380.679451012824,1620249.460691217,1667630.1401422303,0.1530685606038582,0.0842478707449117,1.798934242483182,0.1530685606038582,0.0842478707449117,1.798934242483182,13060.938523132822,8545,7645,412.8881841287583,39,39871.577370068466,78975.84223335657,84661.13585782416,0.06555933129262376,0.004354777386265421,0.7382227012243636,0.06555933129262376,0.004354777386265421,0.6382227012243636,-3,-3,-3,-3,-1,-3
2021-03-04,342259.0,601,Veneto,9915.0,6,339072.6916457041,23562.0,306129.0,10036.218677299184,121.0,48166.075426069474,1624980.1221536647,1673146.197579734,0.15358342361230326,0.0842478707449117,1.802401535124268,0.15358342361230326,0.0842478707449117,1.802401535124268,13740.927142655864,8966,7769,413.2822528006041,40,41079.61207801903,78616.00495472332,86598.8050751394,0.0656203914307625,0.004354777386265421,0.7374718137327032,0.0656203914307625,0.004354777386265421,0.6374718137327032,-3,-3,-3,-3,-1,-3
2021-03-05,343907.0,755,Veneto,9926.0,6,340083.5670255423,23607.0,307067.0,10062.848330526584,119.0,48948.31888627616,1629788.9295247244,1678737.2484110002,0.1540567669159497,0.0842478707449117,1.8055927015039828,0.1540567669159497,0.0842478707449117,1.8055927015039828,14459.543567718874,9390,7920,413.930098228098,42,42283.97515727273,78446.79797157478,88845.72423414269,0.06565316610256103,0.004354777386265421,0.7365896021079607,0.06565316610256103,0.004354777386265421,0.6365896021079607,-3,-3,-3,-3,-1,-3
2021-03-06,345554.0,902,Veneto,9936.0,7,341110.89747463545,23667.0,308009.0,10089.54430627602,118.0,49726.48552655275,1634675.535423786,1684402.020950339,0.1544909067532503,0.0842478707449117,1.8085244502406488,0.1544909067532503,0.0842478707449117,1.8085244502406488,15215.701581791018,9819,8100,414.8797883239826,44,43483.15684201514,78488.50509824965,91398.9102476964,0.06565966459340343,0.004354777386265421,0.7355886415712541,0.06565966459340343,0.004354777386265421,0.6355886415712542,-3,-3,-3,-3,-1,-3
